ProductKey,Product Name,Brand,Color,Subcategory,Category
2492,Cigarette Lighter Adapter for Contoso Phones E110 White,Contoso,Cell phones Accessories,Cell phones Accessories,Cell phones
1763,MGS Flight Simulator 2000 M410,Tailspin Toys,Download Games,Download Games,Games and Toys
2124,Contoso Coffee Maker 12C M1000 Silver,Contoso,Coffee Machines,Coffee Machines,Home Appliances
197,Litware Home Theater System 2.1 Channel E212 Black,Litware,Home Theater System,Home Theater System,TV and Video
192,Litware Home Theater System 4.1 Channel M410 Black,Litware,Home Theater System,Home Theater System,TV and Video
1776,MGS Age of Empires III: The War Chiefs 2007 E132,Tailspin Toys,Download Games,Download Games,Games and Toys
1666,MGS Hand Games for Office worker L299 Yellow,Tailspin Toys,Boxed Games,Boxed Games,Games and Toys
2145,Adventure Works Coffee Maker 4C E080 Black,Adventure Works,Coffee Machines,Coffee Machines,Home Appliances
744,Contoso Dual USB Power Adapter - power adapter E300 Black,Contoso,Computers Accessories,Computers Accessories,Computers
2053,Litware Microwave 0.9CuFt E090 Blue,Litware,Microwaves,Microwaves,Home Appliances
2365,Contoso Air conditioner 8000BTU M0320 Silver,Contoso,Air Conditioners,Air Conditioners,Home Appliances
1270,Contoso Lens Cap Keeper E314 Pink,Contoso,Cameras & Camcorders Accessories,Cameras & Camcorders Accessories,Cameras and camcorders
1497,The Phone Company Smart phones Unlocked M300 White,The Phone Company,Smart phones & PDAs,Smart phones & PDAs,Cell phones
1452,The Phone Company Touch Screen Phones SAW/On-wall M806 Gold,The Phone Company,Touch Screen Phones,Touch Screen Phones,Cell phones
2206,Adventure Works Floor Lamp X1150 Silver,Adventure Works,Lamps,Lamps,Home Appliances
1552,The Phone Company PDA Palm 4.7 inch L850 Silver,The Phone Company,Smart phones & PDAs,Smart phones & PDAs,Cell phones
956,A. Datum Point Shoot Digital Camera M500 Black,A. Datum,Digital Cameras,Digital Cameras,Cameras and camcorders
755,Contoso Home/Office Laptop Power Adapter E300 Black,Contoso,Computers Accessories,Computers Accessories,Computers
2382,Contoso Air conditioner 5200BTU E0100 Blue,Contoso,Air Conditioners,Air Conditioners,Home Appliances
1253,Contoso General Carrying Case E304 Silver,Contoso,Cameras & Camcorders Accessories,Cameras & Camcorders Accessories,Cameras and camcorders
1230,"Fabrikam Independent Filmmaker 1/3"" 8.5mm X200 Blue",Fabrikam,Camcorders,Camcorders,Cameras and camcorders
1322,Contoso Private Branch Exchange M88 Black,Contoso,Home & Office Phones,Home & Office Phones,Cell phones
929,SV 512MB Laptop memory E800 Black,Southridge Video,Computers Accessories,Computers Accessories,Computers
1261,Contoso Multi-Use Terminal Cable E308 White,Contoso,Cameras & Camcorders Accessories,Cameras & Camcorders Accessories,Cameras and camcorders
933,SV 2GB Laptop memory E800 White,Southridge Video,Computers Accessories,Computers Accessories,Computers
2290,Proseware Wall Lamp E0215 Silver,Proseware,Lamps,Lamps,Home Appliances
2345,Litware Chandelier M6015 Blue,Litware,Lamps,Lamps,Home Appliances
1646,Contoso DVD 9-Inch Player Portable M300 Black,Contoso,Movie DVD,Movie DVD,"Music, Movies and Audio Books"
1010,A. Datum Bridge Digital Camera M300 Orange,A. Datum,Digital Cameras,Digital Cameras,Cameras and camcorders
300,SV Car Video AM/FM E1001 Black,Southridge Video,Car Video,Car Video,TV and Video
1186,"Fabrikam Business Videographer 1/3"" 8.5mm M380 Orange",Fabrikam,Camcorders,Camcorders,Cameras and camcorders
2173,Fabrikam Coffee Maker Auto 5C E090 Silver,Fabrikam,Coffee Machines,Coffee Machines,Home Appliances
2104,Contoso Water Heater 1.5GPM E0800 Silver,Contoso,Water Heaters,Water Heaters,Home Appliances
1553,The Phone Company PDA GPS Phone 3.5 inch M910 Silver,The Phone Company,Smart phones & PDAs,Smart phones & PDAs,Cell phones
1628,Contoso DVD 58 DVD Storage Binder M55 Black,Contoso,Movie DVD,Movie DVD,"Music, Movies and Audio Books"
1164,Fabrikam Social videographer 1'' 25mm E400 Black,Fabrikam,Camcorders,Camcorders,Cameras and camcorders
949,A. Datum Interchangeable lens Non-SLR Digital Camera X250 Black,A. Datum,Digital Cameras,Digital Cameras,Cameras and camcorders
186,SV 8xDVD E120 Silver,Southridge Video,VCD & DVD,VCD & DVD,TV and Video
2235,WWI Wall Lamp E315 Black,Wide World Importers,Lamps,Lamps,Home Appliances
1593,SV DVD 58 DVD Storage Binder M55 Red,Southridge Video,Movie DVD,Movie DVD,"Music, Movies and Audio Books"
2493,Cigarette Lighter Adapter for Contoso Phones E110 Red,Contoso,Cell phones Accessories,Cell phones Accessories,Cell phones
572,Proseware Screen 100in M1609 Silver,Proseware,Projectors & Screens,Projectors & Screens,Computers
592,Contoso Projector 480p M481 White,Contoso,Projectors & Screens,Projectors & Screens,Computers
709,Proseware Mobile Receipt and Document Scanner M200 White,Proseware,"Printers, Scanners & Fax","Printers, Scanners & Fax",Computers
683,Proseware Ink Jet Wireless All-In-One Printer M400 Grey,Proseware,"Printers, Scanners & Fax","Printers, Scanners & Fax",Computers
